---,Actor,Location,Rotation,Scale,Meshes
Row_0,/Script/Engine.BlueprintGeneratedClass'/Game/VigilanteContent/Vehicles/West_Heli_UH60A/BP_West_Heli_UH60A_Showcase.BP_West_Heli_UH60A_Showcase_C',"(X=13750.709477,Y=-19362.955536,Z=2962.572194)","(Pitch=-22.347112,Yaw=17.320797,Roll=-14.799792)","(X=0.498864,Y=0.498864,Z=0.498864)",""
Row_1,/Script/CoreUObject.Class'/Script/Engine.CameraActor',"(X=14730.510166,Y=-19715.445432,Z=2964.013377)","(Pitch=-0.600000,Yaw=145.490858,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_2,/Script/CoreUObject.Class'/Script/CinematicCamera.CineCameraActor',"(X=14798.456590,Y=-19751.593596,Z=2924.198266)","(Pitch=0.000000,Yaw=145.798998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_3,/Script/CoreUObject.Class'/Script/CinematicCamera.CineCameraActor',"(X=14718.957014,Y=-19724.234518,Z=2964.013377)","(Pitch=0.000000,Yaw=145.798998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_4,/Script/CoreUObject.Class'/Script/LevelSequence.LevelSequenceActor',"(X=14042.413145,Y=-19264.438483,Z=2964.013377)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_5,/Script/CoreUObject.Class'/Script/Engine.PlayerStart',"(X=14595.412576,Y=-19600.163569,Z=2910.224939)","(Pitch=0.000000,Yaw=-38.772174,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_6,/Script/CoreUObject.Class'/Script/Engine.PostProcessVolume',"(X=242110.000000,Y=-134660.000000,Z=6350.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_7,/Script/CoreUObject.Class'/Script/Engine.RectLight',"(X=14760.660780,Y=-19816.773103,Z=3010.250006)","(Pitch=0.000000,Yaw=139.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_8,/Script/CoreUObject.Class'/Script/Engine.RectLight',"(X=14102.090478,Y=-19579.172223,Z=3063.806989)","(Pitch=-29.498704,Yaw=132.394085,Roll=28.340775)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_9,/Script/CoreUObject.Class'/Script/Engine.SkeletalMeshActor',"(X=13745.233514,Y=-19586.178269,Z=2344.339184)","(Pitch=3.915308,Yaw=148.729993,Roll=-19.882255)","(X=0.446826,Y=0.446826,Z=0.446826)",""
Row_10,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=14792.348243,Y=-19660.426211,Z=2768.224927)","(Pitch=0.000000,Yaw=-36.719151,Roll=0.000000)","(X=6.584011,Y=6.584011,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Engine/BasicShapes/Cube.Cube'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_11,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=14659.277833,Y=-19663.796621,Z=2976.266686)","(Pitch=-3.394065,Yaw=54.901770,Roll=-84.586934)","(X=0.700000,Y=0.700000,Z=4.342027)","((StaticMesh=/Script/Engine.StaticMesh'/Engine/BasicShapes/Plane.Plane'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_12,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=13052.797060,Y=-17740.345940,Z=3665.977492)","(Pitch=-17.506249,Yaw=1.986012,Roll=-35.965562)","(X=2.000000,Y=2.000000,Z=2.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/UFOKitBashPack1/StaticMeshes/UFO7.UFO7'',Materials=(Material'""/Game/UFOKitBashPack1/Materials/UFO7Material""',Material'""/Game/UFOKitBashPack1/Materials/MAINGlowBlue""',Material'""/Game/UFOKitBashPack1/Materials/MAINGlowGreen""')))"
Row_13,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=11670.079997,Y=-17348.930570,Z=303.008148)","(Pitch=0.000000,Yaw=21.221304,Roll=0.000000)","(X=3.000000,Y=3.000000,Z=3.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Arctic/Meshes/MountainPeak_B/SM_MountainPeak_B.SM_MountainPeak_B'',Materials=(MaterialInstanceConstant'""/Game/Arctic/Meshes/MountainPeak_B/Mi_MountainPeakB""')))"
Row_14,/Script/CoreUObject.Class'/Script/Engine.StaticMeshActor',"(X=-3117.606083,Y=-5887.728685,Z=805.808946)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=9.816907,Y=9.816907,Z=9.816907)","((StaticMesh=/Script/Engine.StaticMesh'/Game/Arctic/Meshes/Distance_Meshes/SM_Distance_E.SM_Distance_E'',Materials=(MaterialInstanceConstant'""/Game/Arctic/Meshes/Distance_Meshes/Mi_DistanceMeshes""',MaterialInstanceConstant'""/Game/Arctic/Meshes/Distance_Meshes/Mi_DistanceMeshes""',MaterialInstanceConstant'""/Game/Arctic/Meshes/Distance_Meshes/Mi_DistanceMeshes""',MaterialInstanceConstant'""/Game/Arctic/Meshes/Distance_Meshes/Mi_DistanceMeshes""')))"
Row_15,/Script/Engine.BlueprintGeneratedClass'/Game/UltraDynamicSky/Blueprints/Ultra_Dynamic_Sky.Ultra_Dynamic_Sky_C',"(X=-28252.866601,Y=174642.157856,Z=-7390.580756)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Engine/BasicShapes/Cube.Cube'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/UltraDynamicSky/Meshes/2D_Turbulence_Disk.2D_Turbulence_Disk'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')),(StaticMesh=/Script/Engine.StaticMesh'/Game/UltraDynamicSky/Meshes/Ultra_Dynamic_Sky_Sphere.Ultra_Dynamic_Sky_Sphere'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_16,/Script/Engine.BlueprintGeneratedClass'/Game/UltraDynamicSky/Blueprints/Ultra_Dynamic_Weather.Ultra_Dynamic_Weather_C',"(X=14718.957014,Y=-19724.234518,Z=2964.013377)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/UltraDynamicSky/Meshes/Rainbow.Rainbow'',Materials=(Material'""/Engine/EngineMaterials/WorldGridMaterial""')))"
Row_17,/Script/CoreUObject.Class'/Script/Engine.DefaultPhysicsVolume',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_18,/Script/Engine.BlueprintGeneratedClass'/Game/FirstPerson/Blueprints/BP_FirstPersonGameMode.BP_FirstPersonGameMode_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_19,/Script/Engine.BlueprintGeneratedClass'/Game/FirstPerson/Blueprints/BP_FirstPersonGameState.BP_FirstPersonGameState_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_20,/Script/CoreUObject.Class'/Script/NavigationSystem.AbstractNavData',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_21,/Script/Engine.BlueprintGeneratedClass'/Game/FirstPerson/Blueprints/BP_FirstPersonPlayerController.BP_FirstPersonPlayerController_C',"(X=14595.412576,Y=-19600.163569,Z=2910.224939)","(Pitch=0.000000,Yaw=-38.772174,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_22,/Script/CoreUObject.Class'/Script/Engine.PlayerCameraManager',"(X=14718.957014,Y=-19724.234518,Z=2964.013377)","(Pitch=0.000000,Yaw=145.798998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_23,/Script/Engine.BlueprintGeneratedClass'/Game/FirstPerson/Blueprints/Spectator.Spectator_C',"(X=14595.412576,Y=-19600.163569,Z=2910.224939)","(Pitch=-0.000000,Yaw=-38.772174,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
